<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20210827,17.1,17.85,16.75,17.85,9418600
AAM,20210827,10.95,10.95,10.5,10.5,700
AAT,20210827,20.25,20.8,20,20.8,919800
ABS,20210827,21,21,19.7,20.9,358800
ACB,20210827,31.7,31.85,30.8,31.75,8069600
ACC,20210827,15.05,15.1,14.85,14.95,16100
ACL,20210827,11.8,12.1,11.8,12.05,44800
ADG,20210827,41.4,41.7,41.2,41.3,96500
ADS,20210827,33.6,34.3,33.5,34.2,206300
AGG,20210827,46.6,47,45.05,47,1114200
AGM,20210827,34.1,34.1,32.1,32.1,249500
AGR,20210827,16.15,16.6,15.65,16.6,3149100
AMD,20210827,4.16,4.2,4.13,4.17,1703800
ANV,20210827,29.9,31,29,31,940600
APC,20210827,20.1,20.75,20.1,20.75,36700
APG,20210827,16.8,17.25,15.6,17,2022300
APH,20210827,47,50.2,45,50.2,12003900
ASM,20210827,14.25,15.2,14.05,15.2,4907600
ASP,20210827,7.02,7.1,7,7.03,70500
AST,20210827,48,48.75,48,48.75,20600
BCE,20210827,11.6,12,11.3,12,229000
BCG,20210827,15.6,16.95,15.15,16.95,7700400
BCM,20210827,44.3,44.3,43.5,43.8,20700
BFC,20210827,34.6,35.8,33.5,35.8,304900
BHN,20210827,54,54.2,54,54.1,1100
BIC,20210827,26.2,27.9,25.25,27.9,506100
BID,20210827,38.5,39,37.8,38.7,1906500
BKG,20210827,13.55,13.55,12.5,12.8,364100
BMC,20210827,17.9,18.8,17.4,18.7,328000
BMI,20210827,32.9,34,32.1,33.95,521500
BMP,20210827,53.5,53.5,52.9,53.4,44700
BRC,20210827,13.15,13.15,12.95,13,8600
BTP,20210827,17.5,18.1,17.45,18,22600
BTT,20210827,50,50,50,50,100
BVH,20210827,52.1,53.6,52,53.4,656900
BWE,20210827,40.2,42,39.7,41.1,690300
C32,20210827,24.2,25.5,24.2,25.35,74500
C47,20210827,12.2,12.45,12.2,12.35,256200
CCI,20210827,20,20.5,19.05,20.5,5400
CCL,20210827,12.2,12.75,12.05,12.7,555600
CDC,20210827,14.1,14.1,13.8,13.9,3400
CEE,20210827,13,13.1,13,13.05,900
CFPT2102,20210827,5,5,4,4.62,45000
CFPT2103,20210827,3,3.11,2.65,2.74,544200
CFPT2104,20210827,3,3,2.75,2.97,201400
CFPT2105,20210827,3.8,4.1,3.11,4.04,2677000
CHDB2101,20210827,1.42,1.42,1.2,1.22,53600
CHP,20210827,19.1,19.1,19,19,62900
CHPG2101,20210827,5,5,4.55,4.88,95900
CHPG2109,20210827,7.1,7.1,6.5,6.67,28700
CHPG2110,20210827,2.5,2.55,2.4,2.51,519900
CHPG2111,20210827,1.99,1.99,1.66,1.85,11201200
CIG,20210827,7.6,7.9,7.07,7.6,58600
CII,20210827,17,17.25,16.8,17.25,4282300
CKDH2101,20210827,2,2.15,1.95,2.15,53600
CKG,20210827,21.8,22.6,21.7,22.5,2574100
CLC,20210827,33.1,33.45,33,33.2,21000
CLL,20210827,34.2,34.2,32.3,33.05,24100
CMBB2103,20210827,2.9,2.99,2.7,2.8,169900
CMG,20210827,50,51,48.8,50.8,153600
CMSN2101,20210827,1.96,2,1.8,1.99,90900
CMSN2102,20210827,1.49,1.61,1.49,1.5,75700
CMSN2104,20210827,4.5,4.75,4.3,4.75,82000
CMSN2105,20210827,4.96,4.96,4.17,4.54,514300
CMV,20210827,14.2,14.2,14.2,14.2,100
CMWG2104,20210827,6.2,6.2,5.8,5.89,218700
CMWG2106,20210827,2.52,2.71,2.25,2.35,1095800
CMWG2107,20210827,6.19,8.43,4.15,4.6,2544300
CMX,20210827,13.1,13.8,13.1,13.7,339500
CNG,20210827,26.4,27.2,26,27.2,129500
CNVL2101,20210827,3.75,4.15,3.75,4.12,43100
CNVL2102,20210827,1.37,1.38,1.31,1.35,361200
CPDR2102,20210827,1.29,1.45,1.14,1.4,224700
CPNJ2104,20210827,0.96,1,0.83,0.85,598700
CPNJ2105,20210827,2.97,2.97,1.77,1.95,1255000
CRC,20210827,11.1,11.5,10.9,11.4,225200
CRE,20210827,51.7,53,51.1,53,1458200
CSBT2101,20210827,0.95,0.95,0.65,0.91,30600
CSM,20210827,16.9,17.25,16.8,16.8,175300
CSTB2101,20210827,3.31,3.31,2.85,3,144200
CSTB2105,20210827,6,6,5.24,5.57,53400
CSV,20210827,40,41.3,38.5,41.3,620500
CTCB2101,20210827,20,20,17.31,19.8,48000
